interview__key,r_buyers__id,sl_amt
"26-41-89-58","Brokers/ middleman","41-60%"
"68-77-96-37","Brokers/ middleman","41-60%"
"52-83-38-94","Direct buyers /open-air market","61-80%"
"97-03-37-68","Brokers/ middleman","21-40%"
"26-04-46-11","Brokers/ middleman","More than 80%"
"64-89-33-44","Brokers/ middleman","More than 80%"
"09-37-28-22","Direct buyers /open-air market","less than 20%"
"21-48-73-26","Brokers/ middleman","41-60%"
"95-62-47-68","Brokers/ middleman","More than 80%"
"16-16-37-56","Direct buyers /open-air market","21-40%"
"86-61-37-71","Brokers/ middleman","More than 80%"
"51-98-81-10","Brokers/ middleman","More than 80%"
"61-70-60-57","Brokers/ middleman","More than 80%"
"36-72-98-05","Brokers/ middleman","61-80%"
"40-64-72-16","Brokers/ middleman","More than 80%"
"98-62-02-19","Direct buyers /open-air market","More than 80%"
"88-50-89-00","Direct buyers /open-air market","less than 20%"
