interview__key,crp_ip1_exp,crp_ip3_exp,crp_ip5_exp,crp_ip6_exp,crp_ip7_exp,crp_ip8_exp,crp_ip9_exp,crp_ip10_exp
"16-75-57-30",2200,0,0,7000,0,0,0,0
"60-19-22-98",,,,,,,,
"97-29-58-98",,,,,,,,
"51-48-94-50",900,28000,5600,20000,4500,0,300,12400
"97-20-59-08",2100,0,0,3000,0,0,3000,1000
"21-43-02-41",,,,,,,,
"82-77-24-98",3875,11000,4000,3750,9000,0,1000,0
"68-99-96-16",,,,,,,,
"47-95-59-62",2500,0,0,0,2000,0,0,0
"86-57-96-89",,,,,,,,
"68-47-81-44",,,,,,,,
"36-96-75-03",,,,,,,,
"08-94-02-07",15500,10500,10000,2200,4700,0,3000,2000
"37-79-35-25",,,,,,,,
"71-65-92-38",900,0,0,0,0,0,200,0
"64-78-16-16",3500,0,0,0,9000,0,0,0
"21-44-80-94",1800,0,0,0,5000,0,200,0
"09-64-46-58",11200,0,6000,27000,5000,0,2000,0
"59-85-28-37",2000,0,0,0,0,0,0,0
"59-86-17-42",,,,,,,,
"19-38-28-96",,,,,,,,
"15-65-55-76",1000,0,0,0,0,0,0,0
"06-65-59-46",3000,0,0,0,0,0,500,0
"31-55-25-17",,,,,,,,
"46-83-77-72",3500,0,0,0,7500,0,0,0
"13-16-83-24",4800,0,0,0,0,0,0,0
"55-65-07-83",5580,44000,6300,18800,15000,0,7000,5000
"19-58-06-14",,,,,,,,
"07-67-77-44",,,,,,,,
"30-73-95-73",2250,2500,1000,3600,0,0,0,0
"81-01-27-26",2100,3500,2000,5000,0,0,6,0
"29-63-05-43",,,,,,,,
"69-97-70-98",,,,,,,,
"15-06-78-78",1500,0,0,0,5000,0,200,0
"09-89-86-48",,,,,,,,
"66-77-69-23",,,,,,,,
"34-54-53-25",3600,0,0,0,12000,0,0,0
"54-15-04-81",400,7000,2400,6000,6000,0,400,100
"30-29-61-21",3000,0,0,0,7000,0,300,888
"32-65-13-57",,,,,,,,
"64-69-72-73",,,,,,,,
"25-20-08-58",4500,0,0,0,10000,0,100,0
"12-04-44-96",1500,3500,1000,3000,0,0,500,0
"97-37-09-60",,,,,,,,
"26-04-59-05",,,,,,,,
"98-27-33-85",6000,13000,1600,10000,4800,3000,600,0
"65-84-88-76",,,,,,,,
"88-58-36-62",,,,,,,,
"68-07-50-59",2990,17000,3000,12000,15000,25000,2500,1000
"69-15-02-37",4300,0,0,0,8000,0,200,3000
"02-78-83-36",4000,0,0,0,4000,0,0,500
"97-59-33-64",6200,14000,5000,20000,13000,0,2500,0
"62-96-19-75",13330,3800,700,7500,0,8000,200,0
"73-91-22-23",1300,0,0,0,4000,0,0,0
"20-05-42-35",,,,,,,,
"41-87-52-98",,,,,,,,
"69-31-43-37",,,,,,,,
"53-00-97-20",,,,,,,,
"33-41-86-29",,,,,,,,
"32-86-73-25",5000,0,0,3500,1800,0,0,0
"72-97-03-54",4500,0,0,6000,9000,0,0,0
"15-89-37-89",840,0,0,1500,0,0,300,0
"12-79-12-74",650,0,0,0,1500,0,0,0
