interview__key,r_members__id,migrant_ind,migrant_current,migrant_past,migr_itt,migr_desti,migr_desti_oth,migrant_year_first,migrant_year_recent,migrant_months_no,migrant_visit,remit_amt,remit_receiver
"43-12-71-52",1,"No",,"No","Yes permanently migrate","Outside the country","",,,,,,
"43-12-71-52",2,"No",,"No","No intention to migrate",,"",,,,,,
"43-12-71-52",3,"No",,"No","No intention to migrate",,"",,,,,,
"43-12-71-52",4,"No",,"No","No intention to migrate",,"",,,,,,
"43-12-71-52",5,"No",,"No","No intention to migrate",,"",,,,,,
"43-12-71-52",6,"No",,"No","No intention to migrate",,"",,,,,,
"43-12-71-52",8,"No",,"No","No intention to migrate",,"",,,,,,
"43-12-71-52",10,"No",,"No","No intention to migrate",,"",,,,,,
"43-12-71-52",11,"No",,"No","No intention to migrate",,"",,,,,,
"64-05-81-04",1,"No",,"No","No intention to migrate",,"",,,,,,
"64-05-81-04",2,"No",,"No","No intention to migrate",,"",,,,,,
"52-46-02-95",1,"Yes","No","No",,,"",2021,2021,,,,
"52-46-02-95",2,"Yes","No","No",,,"",2021,2021,,,,
"52-46-02-95",3,"Yes","No","No",,,"",2021,2021,,,,
