interview__key,r_members__id,live_here,absence_res,absence_res_oth,ha03,ha_rel,age,marital,ha07,religio,religio_1,educ1,educ2,school_attnd,school_attnd_oth,educ3,ex_student,year_graduate,study_program,emp_member,Ibr3,lbr13
"09-47-23-08",3,12,,"","Male","Child/Adopted Child","28",,"Subiya",,"","Form 3","No","Too expensive","",,"","","","No",,
"09-47-23-08",4,12,,"","Male","Child/Adopted Child","13",,"Subiya",,"","Standard 7","Yes",,"",,"","","","No",,
"03-49-16-10",1,12,,"","Female","Other Non-Relative","30",,"Subiya",,"","Form 2","No","Too expensive","",,"","","","Yes","Yes","No"
"03-49-16-10",2,12,,"","Male","Self/Head","31","Never Married","Kenyan","Protestant demoninantions (incl all non-catholic denominations)","","University level",,,"",,"Gaborone University","2020","Bachelor of Business Administration, in Occupational Health and Safety","Yes","Yes","No"
"65-48-87-48",1,12,,"","Female","Wife/Husband","49",,"kgalagadi",,"","Standard 7","No","Poor academic progress","",,"","","","No",,
"65-48-87-48",2,12,,"","Male","Self/Head","51","Married monogamously","subiya","African Traditional religion","","Standard 7","No","Poor academic progress","",,"","","","Yes","Yes","No"
"65-48-87-48",3,12,,"","Female","Child/Adopted Child","25",,"subiya",,"","Form 5","No","Poor academic progress","",,"","","","Yes","Yes","No"
"65-48-87-48",4,12,,"","Female","Child/Adopted Child","13",,"subiya",,"","Standard 7","Yes",,"",,"","","","No",,
"54-94-74-75",1,12,,"","Male","Self/Head","44","Never Married","subiya","Protestant demoninantions (incl all non-catholic denominations)","","Standard 7","No","Had to help with family","",,"","","","No",,
"54-94-74-75",2,12,,"","Female","Wife/Husband","41",,"San",,"","Standard 5","No","Had to help with family","",,"","","","Yes","Yes","No"
"54-94-74-75",3,12,,"","Female","Child/Adopted Child","9",,"Subiya",,"","Standard 3","Yes",,"",,"","","",,,
