interview__key,s0_duration,s1_duration,s2_duration,s3_duration,s4_duration,s5_duration,s6_duration,s7_duration,s8_duration,s9_duration,s10_duration,s11_duration,s12_duration,s13_duration,s15_duration,interview__duration2,interview__duration,interview__duration_minutes,date,time
"81-28-91-79",1.57,8.67,1.479889502762431,6.66,5.82,8.119999999999999,9.01,2.87,18.28,4.6,1.09,27.882,1.19,2.21,5.980828729281768,105.4327182320442,"00.02:07:43",127.7166666666667,"2023-05-19","13:03:31"
"87-17-87-24",2.42,28.31,1.44,5,.44,.32,7.95,1.19,25.05,5.59,1.348925619834711,19.25,1.3,1.03,3.83,104.4689256198347,"00.01:48:36",108.6,"2023-05-19","12:51:24"
"98-37-88-19",1.83,7.416,2.1,5.14,.29,.27,14.67,3.212314049586777,21.7,5.971184573002755,1.97,14.68,1.819612188365651,4.78,17.36199999999999,103.2111108109552,"00.01:47:21",107.35,"2023-05-19","12:52:42"
"19-43-58-99",2.39,33.78999999999999,2.79,7.4,.21,.15,10.3,4.63,37.748,6.3,1.36,14.83066666666667,1.65,2.54,5.980828729281768,132.0694953959484,"00.02:44:20",164.3333333333333,"2023-05-19","07:49:19"
"85-30-41-56",2.43,12.65,2.03,8.036,.18,.15,13,5.82,29.85,9.029999999999999,2.38,18.58,2.04,5.361999999999998,7.68,119.218,"00.02:26:33",146.55,"2023-05-19","07:53:32"
"78-32-31-52",1.56,23.54,1.479889502762431,4.18,.21,.29,12.88,6.237999999999996,26.38,9.029999999999999,2.694,14.83066666666667,1.819612188365651,1.53,4.79,111.4521683577947,"00.01:59:42",119.7,"2023-05-19","07:49:49"
"37-97-45-71",2.01,11.98,.98,4.12,.22,.29,9.141722222222223,1.19,29.47,6.22,.8100000000000001,21.04,.9399999999999999,1.84,4,94.25172222222223,"00.01:31:02",91.03333333333333,"2023-05-19","10:04:38"
"07-52-39-57",3.41,15.94,2.65,4.948055555555555,8.34,2.039313186813187,7.46,6.237999999999996,20.17,4.2,1.86,9.640000000000001,.97,3.82,3.37,95.05536874236874,"00.01:55:00",115,"2023-05-19","10:30:46"
"80-35-75-14",1.4,16.14,2.955999999999999,6,.36,.17,15.33599999999999,6.237999999999996,25.04304709141274,7.11,2.1,14.83066666666667,3.044,2.739168975069252,5.980828729281768,109.4477114624304,"00.02:42:29",162.4833333333333,"2023-05-19","07:55:50"
"94-41-84-42",3.07,22.15,1.95,8.036,8.519999999999989,1.32,7.21,6.237999999999996,25.04304709141274,4.83,2.63,14.83066666666667,1.57,4.05,3.07,114.5177137580794,"00.02:33:01",153.0166666666667,"2023-05-18","07:13:54"
