interview__key,grazing_area__1,grazing_area__2,grazing_area__3,grazing_area__4,grazing_area__5,grazing_area__96,grazing_area_oth,grazing_dist,grazing_days,grazing_hour,grazing_ownership,grazing_sharing,grazing_permit,grazing_permit_price,grazing_years,grazing_area_before__1,grazing_area_before__2,grazing_area_before__3,grazing_area_before__4,grazing_area_before__5,grazing_area_before__96,grazing_dist_before,grazing_cng_reason__1,grazing_cng_reason__2,grazing_cng_reason__3,grazing_cng_reason__4,grazing_cng_reason__5,grazing_cng_reason__6,grazing_cng_reason__7,grazing_cng_reason__8,grazing_cng_reason__9,grazing_cng_reason__10,grazing_cng_reason__11,grazing_cng_reason__96,grazing_change_reason_oth,grazing_challenges__1,grazing_challenges__2,grazing_challenges__3,grazing_challenges__4,grazing_challenges__5,grazing_challenges__6,grazing_challenges__7,grazing_challenges__8,grazing_challenges__9,grazing_challenges__10,grazing_challenges__11,grazing_challenges__96,grazing_challenge_oth
"73-01-72-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"70-18-85-80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"59-96-51-48","No","No","Yes","No","No","No",,180,9,6,"Communally owned",13,"No",,10,,,,,,,,,,,,,,,,,,,,"","Yes","No",,"No","No",,"No","No","No","No","No","No",""
"47-24-68-80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"98-95-69-34","No","Yes","No","No","No","No",,30,1030,10,"Communally owned",5,"No",,30,,,,,,,,,,,,,,,,,,,,"",,"No","Yes","No","No","No","No","No","No","No",,"No",""
"94-61-58-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"84-70-48-38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"46-07-52-30","No","Yes","No","No","No","No",,10,600,10,"Private owned with land title",2,"No",,17,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","No","No","No","Yes",,"No","No","No",""
"65-50-88-07","No","Yes","Yes","No","No","No",,30,570,9,"Communally owned",4,"No",,3,"Yes","No","No","No","No","No",,"Yes","No","No","No","No","No","No","No","No","No","No","No","","Yes","No",,"No","No",,"No","No","No","No","No","No",""
"05-43-02-62","No","Yes","No","No","No","No",,120,660,9,"Communally owned",15,"No",,1998,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","No","No","No",,"Yes","No","No","No",""
"83-84-84-67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
