interview__key,r_members__id,live_here,absence_res,absence_res_oth,ha03,ha_rel,age,marital,ha07,ha07_other,religio,religio_1,educ1,educ2,school_attnd,school_attnd_oth,educ3,ex_student,year_graduate,study_program,emp_member,Ibr3,lbr13
"82-77-34-88",3,12,,"","Female","Child/Adopted Child",32,"Never Married","Subia","","Other➡️ Please specify","New Apostolic","Secondary school Year 3","No","Too expensive","",,"","","","No",,
"82-77-34-88",4,12,,"","Male","Child/Adopted Child",14,"Never Married","Subia","","Non-religious","","Primary 7","Yes",,"",,"","","","No",,
"82-77-34-88",5,12,,"","Female","Grandchild",11,"Never Married","Other, Specify","Totela","Non-religious","","Primary 5","Yes",,"",,"","","","No",,
"82-77-34-88",6,12,,"","Male","Child/Adopted Child",15,"Never Married","Other, Specify","Mbukushu","Non-religious","","Primary 5","Yes",,"",,"","","","No",,
"82-77-34-88",7,12,,"","Female","Grandchild",3,,,"",,"",,"No","Other","still young",,"","","",,,
"82-77-34-88",8,7,"New arrivals - New born","","Male","Grandchild",7,,,"",,"","No formal education","No","Other","still young 7 months old",,"","","",,,
"58-42-23-81",1,12,,"","Female","Self/Head",44,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Too expensive","",,"","","","No",,
"58-42-23-81",2,12,,"","Male","Child/Adopted Child",16,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","Yes",,"",,"","","","No",,
"58-42-23-81",3,12,,"","Female","Child/Adopted Child",9,,,"",,"","Primary 2","Yes",,"",,"","","",,,
"58-42-23-81",4,12,,"","Male","Child/Adopted Child",1,,,"",,"",,"No","Other","still young",,"","","",,,
"41-08-83-81",1,12,,"","Female","Self/Head",55,"Divorced /Separated","Lozi","","Other➡️ Please specify","New Apostolic","Primary 7","No","Other","No support",,"","","","Yes","Yes","No"
"41-08-83-81",2,5,"New arrivals - Education","","Male","Grandchild",16,"Never Married","Lozi","","Other➡️ Please specify","Seventh Adventist church","Secondary school Year 1","Yes",,"",,"","","","No",,
"41-08-83-81",3,12,,"","Male","Child/Adopted Child",25,"Never Married","Lozi","","Other➡️ Please specify","New Apostolic","Secondary school Year 4","No","Other","Failed grade 12",,"","","","No",,
"41-08-83-81",4,12,,"","Male","Child/Adopted Child",17,"Never Married","Lozi","","Other➡️ Please specify","New Apostolic","Secondary school Year 3","Yes",,"",,"","","","No",,
"41-08-83-81",5,12,,"","Male","Child/Adopted Child",34,"Never Married","Lozi","","Other➡️ Please specify","New Apostolic","Secondary school Year 4","No","Not willing to attend further","",,"","","","Yes","Yes","No"
"41-08-83-81",6,12,,"","Male","Child/Adopted Child",29,"Never Married","Lozi","","Other➡️ Please specify","New Apostolic","Secondary school Year 4","No","Other","failed grade 12",,"","","","No",,
"41-08-83-81",7,12,,"","Female","Grandchild",2,,,"",,"",,"No","Other","Still young",,"","","",,,
"37-72-45-16",1,12,,"","Female","Child/Adopted Child",29,"Never Married","Subia","","Other➡️ Please specify","New Apostolic","Post secondary tertiary college","No","Completed desired schooling","",,"","","","Yes","Yes","No"
"37-72-45-16",2,12,,"","Female","Grandchild",6,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",,"","","",,,
"37-72-45-16",3,6,"New arrivals - New born","","Female","Grandchild",6,,,"",,"","No formal education","No","Other","still young",,"","","",,,
