interview__key,access_internet,internet_home,distance_internet,inter_activity__1,inter_activity__2,inter_activity__3,inter_activity__4,inter_activity__5,inter_activity__6,inter_activity__7,inter_activity__8,inter_activity__9,inter_activity__10,inter_activity__96,inter_activity__n888,inter_activity__n999,inter_activity_oth,cost_internet,internet_purpose__1,internet_purpose__2,internet_purpose__3,internet_purpose__4,internet_purpose__5,internet_purpose__6,internet_purpose__96,internet_purpose__n888,internet_purpose__n999,internet_purpose_oth
"75-89-92-79","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","Yes","No","No",,60,,,,,,,,,,
"44-34-32-32","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"53-52-93-15","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"58-35-74-86","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"23-82-30-50","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"76-76-95-07","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"69-18-54-45","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,65,,,,,,,,,,
"99-14-10-16","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"55-02-31-58","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"55-65-32-92","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"66-00-67-40","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"41-51-06-54","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"07-18-54-62","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"73-70-79-76","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"40-83-72-17","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"23-74-18-51","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"18-88-43-52","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"72-37-85-07","Yes","Yes",,"No","Yes","No","No","No","No","No","No","No","No","No","No","No",,65,,,,,,,,,,
"84-90-52-18","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-23-16-05","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"52-32-19-59","Yes","No","100-500 m","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No",,130,,,,,,,,,,
